blog,text
451,I was really young at this time when headed home with my parents. My sister and I were in the back of a station wagon.  It was daytime and I think it may have been around summer time.  We looked out the back car window and saw a huge circular thing with colored lights on the bottom. We heard no sound or saw no movement. We did not say anything about this at the time.  I don’t remember anything after that.  I did mention it to my sister many years later to see if she remembered seeing this and she said she did  but we did not remember anything else.  My parents did not say anything  and I don’t know if they saw what we saw.
452,I believe what I have captured on my digital camera are Orbs  but I am not completely sure? The one photo you can clearly see an illuminated trail following behind the ball shaped figure. And in the other closeup photo  notice the design inside the Orb shaped figure to me looking similar to an Aztec drawings or Myan calander? but very distintive in having definate design and not of random pattern. Please note  while taking ALL photos these objects were NOT visible either in the sky or through the cameras LCD screen. The objects appeared in the photos but I could not physically see them only after the photo was taken  not before or during the photo  only after the photos were taken were they visable. (meaning that I could not visually see them directly). Also note that using the same camera on the same night  only pointing the camera in a different area (neighbors yard) the photo is clear of any Orbs and or objects. Also using the same camera  taking photos close to the same time as before  the photos are completely clear (This was about a week later) It seems some evenings would be more active than others. Really not sure what to think about all of this but I will say  some very strange things have been occuring the past three to four years and I would like to find some answers. VLUU L310 W / Samsung L310 W
453,I was inside my house watching t.v when all of a sudden I heard this really loud noise that to me sounded like a tornado so I walked outside too see what the noise was and the noise continued to get louder as if something was coming towards me.  I looked up into the sky and I saw an object in the horizon coming towards my general direction which I could not identify at the time. as the object continued to get closer I could start seeing the aircraft better due to the illumination of the moon.  when I first spotted it it was traveling fast but once it passed my house  it banked left and dramatically began decreasing its speed to the point where it was traveling no faster than 5 to 10 mph. the ship hovered over my street for 5 to 10 seconds.  as I focused my eyes I made out the shape of a thin triangle ship with 3 orbish lights On the bottom with one  red blinking light on the top where the driver would be located. also there were several beams of light no stronger than a candle powered helicopter light looking straight up in the air into the clouds.  I was puzzled by this because the lights were being controlled and shining above the craft. As if searching for something at this point I was in shock by what I was seeing and decided to try to run in my house and grab my phone to try to catch a high definition video but j also decided to wake my dad up because I was pretty terrified and I felt like it knew of my presence.  my .dad and I walked back outside but the ship was now out of sight. but the noise it was putting off was not and it still sounded as if it was right over us. my dad testifies what I just said and thinks that the roar was breaking the sound barrier
454,My buddy mike and I were driving into Middletown when we saw a metallic silver shield in the sky it was there not moving for five minutes or so then there was a flash and it disapeared….in the middle of the day  not a cloud in the sky!
455,these things can be seen often  most times you can easily confuse them for being just another star or maybe the reflection of a satellite  but the way these lights behaved  satellites don’t move the way these things were moving  my friend and I made a joke and categorized some of them because of their flight formation  one was the drunk ufo because it seemed to wiggle in short s waves as it flew  when it reached right above my head though  im assuming a mile high?  i know nothing of measurments but the light was no bigger then a grain of rice  all of a sudden it burst into a big ball of light that was as big as the moon held for a second and then vanished  very strange  one time i was with my friend in the middle of the day   ey mike imagine we saw a ufo in the middle of the day?  yeah right man i don’t think that’s    as hes talking i look up in the sky and i was so freaked because there was this oval jet black  :Thing” flying and like  flipping  like a coin  as it flew and i like  LOOK!  so this thing is flying about  1 inch per 3seconds across the sky  kind of looked like a jet black grain of rice lol  but this thing goes off maybe a mile from uss and we can still make it out  flipping  but all of a sudden it dissapeared  what’s weird is that it must of been extremely flat because everytime it turned  it would seem to dissapear  as if you flipped a coin  so weird   now i live 3 towns away in freeport  i havnt had the time to observe the sky here in freeport but the few times i  have  i’ve spotted 2 of these little odd lights at night  i dont doubt they are still active around farmingdale though 
456,This Unidentified Arial Anomaly was witnessed on January 11 2015  Lee is a Teacher who was at the event we were speaking at where the sighting occurred   During the Break we went outside to attempt to meditate on a sightings and bellow the cloud haze lowered this anomaly into view that everyone at the event got to witness as well as everyone else on Whittier Blvd in East LA that day that pulled over to see what we were all watching  i mean if you saw a group of 40 people looking in aw in the sky wouldn’t you stop and take a look too?  This Anomaly appeared as a dark object that first flew south then made a turn towards the west  a directional change showing us that it had a possible intelligent flight path.
457,it was a pulsating light that was very brilliant moving across the sky from the north to the south. my buddy and i were astounded by what we saw because the light brighted everything around us. after the light in the sky faded away we were shocked after a few minutes to here a noise coming from the left of us about 100 ft. when we looked over to where the noise was coming from we saw a green orb moving up and down off the ground about 5 ft making a kind zziv zziv noise.  the orb was about 3 ft in diameter. in all these years i have never been able to figure out what it was and never heard of any reports of what we saw in the sky.
458,I was asleep in my bed when I was awoken with a persistent ringing in my ears  their was light everywhere brite I remember being lifted out of my bed and feeling weightless  at first I thought I was dreaming till I cut my hand on something not sure what.  as I left my room the light got brighter  I was in a large dark room with a table in the center  with a blue haze covering it. I was placed their and when I looked around I saw other children with me all of them around my age I was 13 at the time.  the rest is fuzzy but I know the experienc e was real  I know their are others out their who have sharred this experience. thanks for listening. If you do contact a witness  please be respectful to them. Contact Email of Witness: dragonfly197212@yahoo.com
459,it looked like a large ship when i looked up. it had a glow around it but no specific color. it some some windows that looked like port-holes on a ship but they had like red lifts comin from them. i was yelling for somebody to get a camara and by the time someone came out it just took-off so-fast. If you do contact a witness  please be respectful to them. Contact Email of Witness: pi_novation@yahoo.com
460,This was by far the most strange thing i have seen. Me and my family were riding our pontoon back from the firework show and we saw three lights that were rotating in a triangular shape. When we tried to take footage as well as pictures the lights wouldn’t show up in the video camera or my brothers phone. We watched the lights appear and disappear within minutes.
461,It was at clear day light the ufo was a bit hard to see cause of the reflections coming off it but the green glow gave it away i walked out of the house to have a better look and once i looked again i saw it for one second and it took off in a blurry speeding flash into the sky about 2 or 3 times faster than a speeding shooting star but before the sighting ive had wierd dreams about being abducted but i remember it was like it was real
462,I was going to work and had my windows down because it was a nice morning.  I stopped at the stop sign at 10th and Douglas.  Looking right to left for traffic  I caught this object out of the corner of my eye.   I looked at it and it seemed to float above the tree tops right behind the Derby Gas station that was located on the corner.  As I looked at it  it slowly began to move to the west and I got scared and got out of there.  It made no noise and it was NOT AN AIRPLANE.  I worked at the Air Force base and knew this thing was not any airplane I had ever seen.
463,This Unidentified Ariel Phenomenon was Documented On a Telescope By Jay Lee and Myself  it was on January 26 2014 in Mcarther Park. It’s a two man Job to record with a telescope and not an easy one either  Hans has to track this object on the view finder then the person manning the camera has to notify him when it is in frame and focus the image. This anomaly is to date my favorite at how By Far in it’s features it displays and how clear an image we were able to Record off of it. We have no idea if it is mechanical or biological but the on thing that is certain is that this Ufo is till today unexplained. some refer to it as an ebe  uap  aap or even ovni. This object was also captured on multiple cameras that day so there isnt just the telescope footage of it but however the telescope did get the best look at it. Here is the video if you would like to take a look
464,Mom was hanging out clothes to dry. She yelled for me to come outside  I was about 14. There was a gray cigar-shaped object above the clouds. It was solid  not a lenticular cloud. It was hovering in one spot.  It was not a blimp or balloon or any aircraft I have ever seen. As the clouds were moving  it was a breezy day  it would disappear behind a cloud  but stayed in the same place so we could see it when the cloud passed. After a minute or two it disappeared behind a cloud but was gone when the cloud moved on.
465,On a very clear night at around 10pm  the bright white light could have been easily mistaken for an airplane by an untrained eye. I concentrated on it since it was flying straight towards the park and getting larger.  As it got way below cruising altitude i did not see warning lights under the aircraft  and was shocked it was still flying towards the earth and not parallel to it. It made a quick turn north at a comet pace and dissappeared. It reminded me of a mix of a fast comet and a commercial airplane. All i saw was a bright light
466,FLYINGS SAUCER FLYINS IN ABDUTCION IN REPORT IN CIRCIL FLYING SUACER LIGTH GREEN BY SIGHTINGS If you do contact a witness  please be respectful to them. Contact Email of Witness: IVANJUNIX_VELUZGASPAR@YAHOO.COM
467,Ufo Transforms Over Los Angeles Skies while several Eyewitnesses see on august  22nd  2015 at 6:42 pm at Hollydale Park Southgate CA  -Best regards Fausto Perez Co-Founder of the research orginization L.A. Ufo Channel Producer of the FaustoUfo Show Youtube.com/Liro51 Facebook.com/UfoContact FaustoUfo@gmail.com
468,Looked like the color a hot air balloon would produce but its movements were to swift and quick. Then suddenly it changed color from the glowing reddish orange to a white light. And stayed in one place and hoovered and bounced around. I have some short video and another picture if you email i can send it to you. If you do contact a witness  please be respectful to them. Contact Email of Witness: nrrodriguez86@gmail.com
469,Silent  fairly fast-moving and it definitely changed directions at three different times  somewhat in an S-Shape.
470,This Was not a ufo as such – but rather something very out of this world.  Aprox 2 am. October 9 or 10 being after midnight. Went to bed and noticed flashing light on my ceiling. Got out of bed and saw lightning striking constantly in the same place. Not one or two times but like 20 – 30 times within 30 seconds maybe more.  After the lightning a series of huge balls of light lighting the whole horizon the size of atomic bombs. ( I thought thats what they were. I woke my partner up and she witnessed the same thing! I grabbed her and threw her to the ground waiting for a shock wave! after 20 seconds or so We looked out side and noticed the sky had almost gone as light as day! ( Yellowish light ) At 2AM. I thought The Sun Or something had exploded!!  I thought there would surely be reports the next day being it was close to the city – but nothing. to this day it puzzles me. Anyone seen anything similar? If you do contact a witness  please be respectful to them. Contact Email of Witness: Djses9@gmail.com
471,Me and two friends were standing on trail talking for 15 min when I noticed 2 objects descending over us my friend shined his flash light on one of them and instantly a green ora available of light surrounded the craft and it stopped and hovered for a few min the other ufo continued  to descend down into the park at this point tree level we walked back to were in went and it was hovering over the canal that runs threw the park the other ufo went way up and just hovered there the whole time one of my friends started pushing his bike right to the one in the park me and the other friend stayed about 1000 feet from it he walked to the ufo and stood 6 feet from it for an hour while we watched it dispense something in the water then move up to the trees were we watched for 45 min before I got scared enough to get out of their the ufo was still in the park when we left and they did something to the tree which I went back the next day and took pictures of we all still can not believe what we seen very up close and personal If you do contact a witness  please be respectful to them. Contact Email of Witness: debbybigs@hotmail.com
472,I was just shutting my window and when I glanced at the stars on such a clear night  I noticed what I thought was an airplane because if was blinking.  As I watched it  I realized not only was it not moving but it blinked  blue  red and white flashes and a short beam of light would occasionally be seen coming from it  like the beam of a headlight and then disappear.   So what is this?  It is not like any star I have ever seen  it clearly had bright flashes of red  blue and white lights.  I don’t know what it is but I don’t like it.  I remember my neighbor telling me about five years ago she saw something just like this and I didn’t believe her  I now believe her.  Won’t sleep much tonight.
473,Appeared to reflect the sun light of the setting sun at times which looked red to orange-red
474,I saw a white cloud with a blue/green tint to it going over my house wile i was smoking a cigarette   i know it wasn’t a cloud because it was moving too fast and it was lit up this has really freaked me out as it is the second time i have seen something like this in the past month.
475,6 reddish orange dots in a circle then one leads and the rest follow in a straight line and then they stop form another circle then one leads again to the same spot and they all follow again in a line form another circle then one by one they shoot up into the sky. If you do contact a witness  please be respectful to them. Contact Email of Witness: Dcarndog@yahoo.com
476,It was just after 7 am  I was driving east when a very bright orange yellow cigar shaped object caught my attention. I watched it for a bit while looking for a place to pull off the road. By the time I could pull over the object was gone.  It seemed as if it wasn’t moving from my perspective as I watched it  and unfortunatly I did’t see how it vanished from view. I don’t know what I saw  but I do know it wan’t a plane (least none that I’ve ever seen or researched). If you do contact a witness  please be respectful to them. Contact Email of Witness: cjcleeves5_5@msn.com
477,They just hover and can be seen with the naked eye by anyone on clear night skies. They constantly moved in the sky and hover where ever I’m present. I sent out two names and contacts to Mufon of the fleet of Ufos that follow me around the world from Joshua Tree. I also sent this report to etletstalk and other UFO organizations. They look like very bright.
478,First I was taking out the trash  as I looked up I saw a red orb in the sky  I looked over it and thought it was mars  later I walked out to feed the dogs and it was still their  them I couldn’t take my eyes off of it. It began to rise   then it shot to another location in the sky and made a straight line  intersecting with two other glowing orbs
479,Saw a bright star and it was flashing  then it came shooting down behind the mountains in the distance.  After that  the sky started to flash orange and green.   It had a shape of a rainbow or dome and the sky just lighting up in that area mostly orange and some white very frequently.  Then I saw an oval shaped red object come down behind the mountains.   I could still barely see it thru the trees.  It was red and I could see many lights on it shaped like domes – all red.  I also saw another object in the sky that looked liked a star but this one had colors.   I could distinctly see red  white and maybe a greenish color.  It looked liked the lights were moving because I would see red  then white  then a greenish color rotating.  This has been going on for hours.  At 1:00 in the morning  the flashing lighting up in the sky moved to the right and is not flashing frequently at all  but it still is and is mostly white flashes.  I also hear a strange noise in that direction.   It repeated it three times and that is all I got.  This is not a joke.  We saw this with our own eyes.   I wonder if anyone else witnessed this? If you do contact a witness  please be respectful to them. Contact Email of Witness: Iloveyouandyou30@gmail.com
